EventType,Feature,Value
SLG_Fault,phase_sag_imbalance_max,1.7320225557932256
ThreePhase_Fault,phase_sag_imbalance_max,0.8045477547007915
ThreePhase_Fault,phase_sag_imbalance_max,1.1274489439584934
ThreePhase_Fault,phase_sag_imbalance_max,1.0776090400863452
ThreePhase_Fault,phase_sag_imbalance_max,0.7254191905036107
ThreePhase_Fault,phase_sag_imbalance_max,0.8321648116981465
ThreePhase_Fault,phase_sag_imbalance_max,0.7509383840913642
ThreePhase_Fault,phase_sag_imbalance_max,0.747967840933246
ThreePhase_Fault,phase_sag_imbalance_max,1.2052552175125562
ThreePhase_Fault,phase_sag_imbalance_max,0.651278456578872
ThreePhase_Fault,phase_sag_imbalance_max,0.204077102494578
ThreePhase_Fault,phase_sag_imbalance_max,0.4111141957031058
ThreePhase_Fault,phase_sag_imbalance_max,0.48941178170075633
ThreePhase_Fault,phase_sag_imbalance_max,0.6305109406925575
ThreePhase_Fault,phase_sag_imbalance_max,0.8289652529457215
ThreePhase_Fault,phase_sag_imbalance_max,0.43152791495193776
ThreePhase_Fault,phase_sag_imbalance_max,0.7864781587681158
ThreePhase_Fault,phase_sag_imbalance_max,0.5223072979763524
ThreePhase_Fault,phase_sag_imbalance_max,0.28656274168868784
ThreePhase_Fault,phase_sag_imbalance_max,0.5185388809320328
ThreePhase_Fault,phase_sag_imbalance_max,0.32416949161323255
ThreePhase_Fault,phase_sag_imbalance_max,0.8102647891137732
ThreePhase_Fault,phase_sag_imbalance_max,0.140465930140926
ThreePhase_Fault,phase_sag_imbalance_max,0.5617663692447054
ThreePhase_Fault,phase_sag_imbalance_max,0.4797546096087022
ThreePhase_Fault,phase_sag_imbalance_max,0.5768099814367438
ThreePhase_Fault,phase_sag_imbalance_max,0.7272800168780702
ThreePhase_Fault,phase_sag_imbalance_max,0.9183511884956095
ThreePhase_Fault,phase_sag_imbalance_max,0.9982268374451296
ThreePhase_Fault,phase_sag_imbalance_max,0.8781204794766775
ThreePhase_Fault,phase_sag_imbalance_max,0.5747658279927556
SLG_Fault,V0_ratio_max,0.64909455724686
SLG_Fault,V0_ratio_max,0.5365651927429472
SLG_Fault,V0_ratio_max,0.6553372570503614
SLG_Fault,V0_ratio_max,0.634478053343792
SLG_Fault,V0_ratio_max,0.495787905119844
SLG_Fault,V0_ratio_max,0.4952736357040985
SLG_Fault,V0_ratio_max,0.3039754438235166
SLG_Fault,V0_ratio_max,0.7684993189727719
SLG_Fault,V0_ratio_max,0.6987494179760344
SLG_Fault,V0_ratio_max,0.299524569781363
SLG_Fault,V0_ratio_max,0.5148904439274963
SLG_Fault,V0_ratio_max,0.5489678154635582
SLG_Fault,V0_ratio_max,0.3008802705030816
SLG_Fault,V0_ratio_max,0.3250280917487224
SLG_Fault,V0_ratio_max,0.3316857786024976
SLG_Fault,V0_ratio_max,0.3066650667067182
SLG_Fault,V0_ratio_max,0.3172650300193466
SLG_Fault,V0_ratio_max,0.4577445247806379
SLG_Fault,V0_ratio_max,0.4176639348763618
