CaseName,Feature,Value,median_Normal,median_LoadSwitch,median_SLG_Fault,median_ThreePhase_Fault
Normal_Case01,max_dV_energy,6.795055147950361e-09,6.795055147950361e-09,0.0007663990914926,6.795055147950361e-09,0.2658779921756272
Normal_Case01,max_dI_energy,5.046125884028947e-09,5.046125884028947e-09,0.0024003812527328,5.046125884028947e-09,0.7493723066537084
Normal_Case01,max_sag,4.127466146641723e-10,4.127466146641723e-10,0.0023622712606306,4.127466146641723e-10,0.9390530956095082
Normal_Case01,max_V0_ratio,0.4618211698979163,0.4618211698979163,0.18891449049484255,0.4618211698979163,0.47128122392935345
Normal_Case01,max_I0_ratio,1.2604988580257734e-05,1.2604988580257734e-05,2.6375530026086244e-05,1.2604988580257734e-05,0.873578821484003
Normal_Case01,max_Z_drop_ratio,3.082566570714834e-10,3.082566570714834e-10,0.12430600623610416,3.082566570714834e-10,0.7953312429660373
Normal_Case01,max_V_unbalance,0.3759632212498306,0.3759632212498306,0.13182653667410876,0.3759632212498306,0.3501630913128875
Normal_Case01,max_I_unbalance,2.4752483232031626e-05,2.4752483232031626e-05,0.0007133014548415,2.4752483232031626e-05,1.1420121711883895
Normal_Case02,max_dV_energy,6.795055147950361e-09,6.795055147950361e-09,0.0007663990914926,6.795055147950361e-09,0.2658779921756272
Normal_Case02,max_dI_energy,5.046125884028947e-09,5.046125884028947e-09,0.0024003812527328,5.046125884028947e-09,0.7493723066537084
Normal_Case02,max_sag,4.127466146641723e-10,4.127466146641723e-10,0.0023622712606306,4.127466146641723e-10,0.9390530956095082
Normal_Case02,max_V0_ratio,0.4618211698979163,0.4618211698979163,0.18891449049484255,0.4618211698979163,0.47128122392935345
Normal_Case02,max_I0_ratio,1.2604988580257734e-05,1.2604988580257734e-05,2.6375530026086244e-05,1.2604988580257734e-05,0.873578821484003
Normal_Case02,max_Z_drop_ratio,3.082566570714834e-10,3.082566570714834e-10,0.12430600623610416,3.082566570714834e-10,0.7953312429660373
Normal_Case02,max_V_unbalance,0.3759632212498306,0.3759632212498306,0.13182653667410876,0.3759632212498306,0.3501630913128875
Normal_Case02,max_I_unbalance,2.4752483232031626e-05,2.4752483232031626e-05,0.0007133014548415,2.4752483232031626e-05,1.1420121711883895
Normal_Case03,max_dV_energy,6.795055147950361e-09,6.795055147950361e-09,0.0007663990914926,6.795055147950361e-09,0.2658779921756272
Normal_Case03,max_dI_energy,5.046125884028947e-09,5.046125884028947e-09,0.0024003812527328,5.046125884028947e-09,0.7493723066537084
Normal_Case03,max_sag,4.127466146641723e-10,4.127466146641723e-10,0.0023622712606306,4.127466146641723e-10,0.9390530956095082
Normal_Case03,max_V0_ratio,0.4618211698979163,0.4618211698979163,0.18891449049484255,0.4618211698979163,0.47128122392935345
Normal_Case03,max_I0_ratio,1.2604988580257734e-05,1.2604988580257734e-05,2.6375530026086244e-05,1.2604988580257734e-05,0.873578821484003
Normal_Case03,max_Z_drop_ratio,3.082566570714834e-10,3.082566570714834e-10,0.12430600623610416,3.082566570714834e-10,0.7953312429660373
Normal_Case03,max_V_unbalance,0.3759632212498306,0.3759632212498306,0.13182653667410876,0.3759632212498306,0.3501630913128875
Normal_Case03,max_I_unbalance,2.4752483232031626e-05,2.4752483232031626e-05,0.0007133014548415,2.4752483232031626e-05,1.1420121711883895
