CaseName,EventType,max_dV_energy,max_dI_energy,max_sag,max_V0_ratio,max_I0_ratio,max_Z_drop_ratio,max_V_unbalance,max_I_unbalance
Normal_Case01,Normal,6.795055147950361e-09,5.046125884028947e-09,4.127466146641723e-10,0.4618211698979163,1.2604988580257734e-05,3.082566570714834e-10,0.3759632212498306,2.4752483232031626e-05
Normal_Case02,Normal,6.795055147950361e-09,5.046125884028947e-09,4.127466146641723e-10,0.4618211698979163,1.2604988580257734e-05,3.082566570714834e-10,0.3759632212498306,2.4752483232031626e-05
Normal_Case03,Normal,6.795055147950361e-09,5.046125884028947e-09,4.127466146641723e-10,0.4618211698979163,1.2604988580257734e-05,3.082566570714834e-10,0.3759632212498306,2.4752483232031626e-05
SLG_Fault_Bus01,SLG_Fault,0.2720624190188637,2.0923378752510144,0.8454268072791867,0.64909455724686,0.9217323440714796,0.8411515626529824,0.4876896120769803,1.2081228063545428
SLG_Fault_Bus02,SLG_Fault,0.2662162820834228,2.0289634878624048,0.8708956193287785,0.5365651927429472,0.9351151268851472,0.8640202001944062,0.4084811224659429,1.250027849638611
SLG_Fault_Bus03,SLG_Fault,0.3791480247207816,0.9643623260016913,0.8934703612231937,0.6553372570503614,0.8985550819710761,0.8049167106296965,0.4153531711896946,1.1576513167236178
SLG_Fault_Bus04,SLG_Fault,0.2596970349091947,1.1454904590640294,0.8716721981874018,0.634478053343792,0.9138355770390528,0.8368803914033146,0.3748802741117104,1.2067832288552596
SLG_Fault_Bus05,SLG_Fault,0.2619071236511643,2.2113732876956647,0.8689512012704615,0.495787905119844,0.9658688509359216,0.911948713957714,0.4100550664385145,1.326602636221401
SLG_Fault_Bus06,SLG_Fault,0.3424661156803695,0.7333525402639818,0.9221551411823106,0.4952736357040985,0.915186530902486,0.7934586808023504,0.2909828890617899,1.1514960262987386
SLG_Fault_Bus07,SLG_Fault,0.2585409729081268,1.7144916866058453,0.8989380099214799,0.3039754438235166,0.9431103801113604,0.8874391328679452,0.2865511412509741,1.2927784891144367
SLG_Fault_Bus08,SLG_Fault,0.4777899797968412,0.7528585650082475,0.9032526806334532,0.7684993189727719,0.8977713809783581,0.7980975732269631,0.3651165904762694,1.1505108934399255
SLG_Fault_Bus09,SLG_Fault,0.2914398414153209,1.337669117918161,0.9183392215444236,0.6987494179760344,0.8687268194200072,0.7999991942750427,0.3465291381870725,1.143298687177399
SLG_Fault_Bus10,SLG_Fault,0.2632650635802349,1.1362940723032642,0.9315343716600882,0.299524569781363,0.863290683197082,0.7678599838765354,0.3153863422869628,1.0899733710022863
SLG_Fault_Bus11,SLG_Fault,0.2912055501808825,2.04593084478246,0.9157284179304088,0.5148904439274963,0.8250399318234913,0.7747780127047889,0.4113204992321351,1.0792417798912024
SLG_Fault_Bus12,SLG_Fault,0.2792176000488988,1.1914585818089751,0.932498736787991,0.5489678154635582,0.7594891673287165,0.6422379209324085,0.4531520502656081,0.8861220342305067
