k,Method,SelectedBuses,macro_f1,balanced_accuracy,LoadSwitch_recall,Fault_precision,Normal_false_alarm_rate
10,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5416666666666667,0.75,1.0,1.0,0.0
11,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5416666666666667,0.75,1.0,1.0,0.0
12,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.5416666666666667,0.75,1.0,1.0,0.0
13,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5416666666666667,0.75,1.0,1.0,0.0
14,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5416666666666667,0.75,1.0,1.0,0.0
15,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.5416666666666667,0.75,1.0,1.0,0.0
16,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.5416666666666667,0.75,1.0,1.0,0.0
17,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.5416666666666667,0.75,1.0,1.0,0.0
18,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.5416666666666667,0.75,1.0,1.0,0.0
19,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.5416666666666667,0.75,1.0,1.0,0.0
20,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.5416666666666667,0.75,1.0,1.0,0.0
21,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",0.5416666666666667,0.75,1.0,1.0,0.0
22,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.5416666666666667,0.75,1.0,1.0,0.0
23,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.5416666666666667,0.75,1.0,1.0,0.0
24,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",0.5416666666666667,0.75,1.0,1.0,0.0
25,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.5416666666666667,0.75,1.0,1.0,0.0
26,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.5416666666666667,0.75,1.0,1.0,0.0
27,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.5416666666666667,0.75,1.0,1.0,0.0
28,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.5416666666666667,0.75,1.0,1.0,0.0
29,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.5416666666666667,0.75,1.0,1.0,0.0
30,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0.5416666666666667,0.75,1.0,1.0,0.0
1,random_mean_50,random,0.5356649995369085,0.7440000000000001,0.9760000000000002,0.9767741935483872,0.0
2,random_mean_50,random,0.5383321289861036,0.7466666666666666,0.9866666666666667,0.9871370967741936,0.0
3,random_mean_50,random,0.5413332407150137,0.7496666666666667,0.9986666666666667,0.9987096774193549,0.0
4,random_mean_50,random,0.5406663888117071,0.7490000000000001,0.996,0.9961290322580646,0.0
5,random_mean_50,random,0.5409998147633605,0.7493333333333334,0.9973333333333335,0.9974193548387098,0.0
6,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
7,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
8,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
9,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
10,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
11,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
12,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
13,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
14,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
15,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
16,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
17,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
18,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
19,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
20,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
21,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
22,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
23,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
24,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
25,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
26,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
27,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
28,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
29,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
30,random_mean_50,random,0.5416666666666669,0.75,1.0,1.0,0.0
