FeatureGroup,Strategy,TriggerMethod,TriggerModel,EventModel,Model,Validation,accuracy,macro_f1,balanced_accuracy,Notes,precision_Normal,recall_Normal,f1_Normal,support_Normal,precision_LoadSwitch,recall_LoadSwitch,f1_LoadSwitch,support_LoadSwitch,precision_SLG_Fault,recall_SLG_Fault,f1_SLG_Fault,support_SLG_Fault,precision_ThreePhase_Fault,recall_ThreePhase_Fault,f1_ThreePhase_Fault,support_ThreePhase_Fault,Fault_precision,Normal_false_alarm_rate,Normal_recall,LoadSwitch_recall,LoadSwitch_to_Fault_count
Voltage_current_unbalance_sequence,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_current_unbalance_sequence,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_current_unbalance_sequence,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.7590361445783133,0.5576923076923077,0.75,,0.13043478260869565,1.0,0.23076923076923078,3,0.0,0.0,0.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Voltage_current_unbalance_sequence,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.7590361445783133,0.5576923076923077,0.75,,0.13043478260869565,1.0,0.23076923076923078,3,0.0,0.0,0.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Impedance_added,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Impedance_added,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Impedance_added,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Impedance_added,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.9759036144578314,0.9268524554541504,0.9791666666666666,,0.6,1.0,0.75,3,1.0,0.95,0.9743589743589743,20,1.0,0.9666666666666667,0.9830508474576272,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.95,0
Impedance_added,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.7590361445783133,0.5576923076923077,0.75,,0.13043478260869565,1.0,0.23076923076923078,3,0.0,0.0,0.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
All_features,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
All_features,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
All_features,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
All_features,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.9759036144578314,0.9268524554541504,0.9791666666666666,,0.6,1.0,0.75,3,1.0,0.95,0.9743589743589743,20,1.0,0.9666666666666667,0.9830508474576272,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.95,0
All_features,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.7590361445783133,0.5576923076923077,0.75,,0.13043478260869565,1.0,0.23076923076923078,3,0.0,0.0,0.0,20,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
