feature,importance
A_phase_dI_dominance_max,0.002551180784711115
dI_A_over_mean_BC_q75,0.0024877226603401787
SLG_score_candidate_max,0.002445967579811626
negative_sequence_dominance_score_mean,0.0024264671367977995
A_phase_sag_dominance_q95,0.002423915009385632
V_unbalance_delta_q95,0.00231464907559215
dI_phase_imbalance_median,0.002285752572255261
dI_Res_ratio_3ph_max_q95,0.0021558156721773634
liss_corr_abs_min_mean,0.0020924843338846325
V0_ratio_mean,0.00207337995999009
phase_sag_imbalance_max,0.0020712733127751883
dI_A_over_mean_BC_median,0.0020556520629461676
A_phase_dI_dominance_q75,0.0020362269171620806
I0_ratio_mean,0.001963596493858848
V2_ratio_q95,0.0018403664034083017
Z_drop_ratio_max,0.001831491383025363
V0_ratio_median,0.0017572016620832714
liss_corr_abs_min_q75,0.001694347614531338
sag_A_over_mean_BC_max,0.0016222470435165752
Z_drop_ratio_median,0.0015871838014852376
zero_to_negative_combo_mean,0.0015845271839742814
SLG_score_candidate_q95,0.0015274600956781137
dV_A_minus_mean_BC_q75,0.0015086149901409787
negative_sequence_dominance_score_std,0.0015031811617541146
negative_sequence_dominance_score_max,0.0014957759778046675
liss_area_norm_min_median,0.0014749899658105482
dV_A_over_mean_BC_q95,0.001453823432957657
A_phase_sag_dominance_mean,0.0014521421848813498
dV_phase_imbalance_mean,0.001445131902057515
negative_sequence_dominance_score_median,0.0014256215021208947
A_phase_dI_dominance_q95,0.0013844288251426565
zero_sequence_dominance_score_max,0.0013652161029512739
A_phase_sag_dominance_q75,0.0013279261394617088
dI_A_minus_mean_BC_q75,0.0013261436817320208
sag_A_over_mean_BC_q95,0.0013211829462893901
phase_sag_imbalance_median,0.0013178382510411403
sag_A_over_mean_BC_q75,0.001179319498486286
dV_phase_imbalance_q75,0.001125530909718028
V2_ratio_median,0.0009484264710962529
V2_ratio_std,0.000894766749438581
sag_A_minus_mean_BC_q75,0.000883426857009469
V_unbalance_delta_mean,0.0007851902432827302
negative_sequence_dominance_score_q75,0.0007322556145272007
phase_sag_imbalance_mean,0.000717655784676475
dI_phase_imbalance_q75,0.000716902913226719
sag_A_over_mean_BC_mean,0.0007043814359471768
zero_to_negative_combo_q75,0.0006927903806035225
dI_A_minus_mean_BC_mean,0.0006386173993664562
V0_ratio_max,0.0005416173654558626
zero_sequence_dominance_score_std,7.80738971042644e-05
zero_to_negative_combo_max,7.679424898271771e-05
