CaseName,ObservedBusForPlot,ExactDuplicateCaseCount,ExactDuplicateCases,max_dV_energy,max_dI_energy,max_sag,max_V0_ratio,max_I0_ratio,max_V_unbalance,max_I_unbalance,window_V0_rms_bus1,window_I0_rms_bus1
Normal_Case01,1,2,Normal_Case02|Normal_Case03,6.795055147950361e-09,5.046125884028947e-09,4.127466146641723e-10,0.4618211698979163,1.2604988580257734e-05,0.3759632212498306,2.4752483232031626e-05,0.08807329277876569,1.458461646849389e-07
Normal_Case02,1,2,Normal_Case01|Normal_Case03,6.795055147950361e-09,5.046125884028947e-09,4.127466146641723e-10,0.4618211698979163,1.2604988580257734e-05,0.3759632212498306,2.4752483232031626e-05,0.08807329277876569,1.458461646849389e-07
Normal_Case03,1,2,Normal_Case01|Normal_Case02,6.795055147950361e-09,5.046125884028947e-09,4.127466146641723e-10,0.4618211698979163,1.2604988580257734e-05,0.3759632212498306,2.4752483232031626e-05,0.08807329277876569,1.458461646849389e-07
