feature,importance
Bus28__I_unbalance_post,0.001848633678792652
Bus15__mean_sag,0.0018463312182023608
Bus20__max_sag,0.0018426774404355513
Bus04__mean_sag,0.0018359395469588243
Bus29__dI_Res_ratio_3ph_max,0.0018358074071440683
Bus30__I_rms_post_B,0.0018247575209600485
Bus28__dI_HF_ratio_C,0.0017958746193342176
Bus18__dV_energy_A,0.001795582933258638
Bus15__max_sag,0.0017908118278612537
Bus22__dI_HF_ratio_3ph_max,0.001788761923273427
Bus30__dI_HF_ratio_3ph_max,0.0017794020837090688
Bus07__V0_ratio,0.0017772552196252602
Bus22__dV_HF_ratio_3ph_max,0.0017748932041387845
Bus02__I_rms_pre_A,0.0017687021531563837
Bus29__dV_Res_ratio_A,0.0017583875148209508
Bus05__dI_Res_ratio_3ph_max,0.0017487292412415249
Bus16__dV_HF_ratio_A,0.0017449219562811038
Bus16__I_rms_post_A,0.0017415775162497793
Bus23__dV_HF_ratio_C,0.0017280428431131253
Bus06__I0_ratio,0.0017225746370365758
Bus26__V_unbalance_pre,0.0017146893304149143
Bus12__Delta_I_unbalance,0.0016934761810458035
Bus05__I_unbalance_post,0.0016816433232780933
Bus23__dV_energy_B,0.0016482165385739123
max_dV_energy,0.0016270977069741698
Bus29__liss_area_norm_B,0.0016195053002386894
Bus02__dV_E28_ratio_C,0.0016126265525979713
Bus26__dV_Res_ratio_C,0.0015995684651771576
Bus01__dI_HF_ratio_B,0.0015872124079016608
Bus29__liss_area_norm_C,0.0015787238415936216
Bus30__dI_Res_ratio_C,0.0015772422760117692
Bus23__I_rms_post_A,0.0015549630905745632
Bus05__dV_Res_ratio_C,0.0015513993433156734
Bus27__sag_C,0.0015476080191837583
Bus07__dV_HF_ratio_3ph_max,0.0015370573970372422
Bus07__dI_Res_ratio_A,0.0015368966923888711
Bus14__dI_HF_ratio_A,0.0015241439015799066
Bus16__liss_area_norm_min,0.0015192950071710259
Bus05__dV_E72_ratio_B,0.0015153666039338701
Bus30__liss_area_norm_A,0.0015145849146821785
Bus08__dI_Res_ratio_C,0.0015121903431433439
Bus11__I_rms_jump_C,0.001509987253200259
Bus30__dV_E28_ratio_B,0.0015029420330261842
Bus27__dV_energy_A,0.0015020683040840488
Bus09__dI_Res_ratio_C,0.0014854605183508515
Bus05__V_unbalance_post,0.0014755856407713097
Bus09__I_rms_jump_C,0.0014732284166973015
Bus26__sag_C,0.0014673974835139833
Bus11__dI_HF_ratio_A,0.001467200618556998
Bus07__sag_B,0.0014663832998034092
Bus17__dI_energy_A,0.0014646312587523222
Bus22__dI_HF_ratio_C,0.001463472512111003
Bus05__sag_A,0.001453495301611898
Bus20__liss_area_norm_A,0.0014489369324309468
Bus30__liss_area_norm_min,0.0014466376579250907
Bus29__I_rms_post_B,0.0014444914001480796
Bus06__I_rms_jump_A,0.001444426788230056
Bus18__dV_energy_C,0.0014426224550943235
Bus17__I_rms_pre_A,0.001440751030191298
Bus05__I_rms_post_A,0.0014401659848310925
Bus11__dV_Res_ratio_3ph_max,0.0014398308121633568
Bus11__I_rms_jump_B,0.0014343345867745608
Bus14__dI_energy_C,0.0014338496738088588
Bus28__dI_HF_ratio_A,0.0014317499284747643
Bus08__mean_sag,0.0014290397447837483
Bus03__dV_energy_3ph_mean,0.001428114260392322
Bus30__liss_area_norm_C,0.001425016875947597
Bus05__V0_ratio,0.0014113607513195328
Bus13__liss_area_norm_A,0.0014097263472153262
Bus01__I_unbalance_pre,0.0014060221485497266
Bus09__Delta_Z_app,0.0014023399868438634
Bus24__I_rms_post_A,0.001400439557060213
Bus06__liss_corr_abs_min,0.0013986502395172318
Bus08__liss_area_norm_C,0.0013985676304262514
Bus19__dV_HF_ratio_B,0.0013946814825985961
Bus13__dV_E72_ratio_B,0.0013904187582647666
Bus04__I_unbalance_pre,0.00138892016197762
Bus05__dI_Res_ratio_C,0.0013874790928547584
Bus16__dV_E28_ratio_C,0.0013853221937105023
Bus17__I_rms_jump_C,0.001384088290582741
Bus20__I_rms_post_C,0.0013838609724636864
Bus25__dI_HF_ratio_3ph_max,0.0013817909174374929
Bus07__I_rms_jump_A,0.0013814963182776818
Bus27__max_sag,0.001375137201382552
Bus02__dI_Res_ratio_B,0.0013743369089827234
max_sag,0.0013713439736569603
Bus23__dI_energy_A,0.001369033309964536
Bus22__dV_E72_ratio_B,0.0013689048804351297
Bus19__dV_E72_ratio_B,0.0013672914070283532
Bus13__sag_B,0.0013625760280832474
Bus17__dV_E72_ratio_B,0.001357956317846936
Bus06__I_rms_post_A,0.0013568524382001062
Bus13__dI_energy_B,0.0013567854692828666
Bus05__I_rms_post_B,0.0013548780429747664
Bus22__dV_E28_ratio_A,0.0013520600030082484
Bus16__dV_Res_ratio_C,0.0013501062183939455
Bus26__I_unbalance_post,0.001349723133041865
Bus21__Delta_I_unbalance,0.0013492786443926458
Bus13__dI_Res_ratio_A,0.0013368005264723978
Bus13__I0_ratio,0.0013359049862204752
Bus13__dV_HF_ratio_C,0.001334272288030377
Bus13__dV_E72_ratio_C,0.0013325480163994582
Bus06__dI_Res_ratio_C,0.0013304382138176203
Bus05__dV_E28_ratio_A,0.0013301376584121997
Bus28__dV_Res_ratio_B,0.0013281927214608634
Bus29__dV_HF_ratio_3ph_max,0.0013229468679269102
Bus20__dV_HF_ratio_B,0.0013173569790106679
Bus23__I_rms_post_C,0.001316387288074798
Bus03__dI_HF_ratio_A,0.0013158639527514448
Bus23__dI_Res_ratio_B,0.0013140531688237667
Bus24__dI_Res_ratio_B,0.001310962997864197
Bus29__dV_HF_ratio_C,0.0013044731069629912
Bus14__dV_E72_ratio_C,0.001301943315625119
Bus13__Z_app_pre,0.0012987666437092706
Bus21__dV_E72_ratio_B,0.0012984464623523625
Bus13__dV_HF_ratio_3ph_max,0.001297094417557946
Bus11__dV_energy_3ph_max,0.00129655238911191
Bus24__I_rms_pre_A,0.0012942996022978347
Bus17__dI_HF_ratio_C,0.001293922665569723
Bus13__dI_HF_ratio_B,0.0012929083502578272
Bus14__I_rms_post_B,0.0012920678274266238
Bus20__dI_HF_ratio_A,0.0012918131572657388
Bus05__liss_corr_abs_A,0.0012892460856789364
Bus30__dI_energy_B,0.0012876228814570749
Bus12__dI_HF_ratio_A,0.001287400838898402
Bus27__liss_area_norm_C,0.0012851736419765302
Bus29__liss_area_norm_A,0.0012820916936705287
Bus29__dV_E72_ratio_B,0.0012815798020166984
Bus12__dV_HF_ratio_C,0.0012814197087096116
Bus27__dI_energy_B,0.001279756409231476
Bus08__sag_B,0.0012771071123518843
Bus27__dI_HF_ratio_A,0.0012723255802940736
Bus26__dI_HF_ratio_C,0.0012640069937706025
Bus17__dV_energy_B,0.001263277756447499
Bus17__dI_Res_ratio_A,0.0012587901293890876
Bus06__dI_energy_B,0.0012586061093364633
Bus20__dV_E72_ratio_A,0.0012579693369906759
Bus14__dI_energy_B,0.001256296203001408
Bus17__dI_Res_ratio_3ph_max,0.0012549736091576323
max_HF_ratio,0.001254381010074539
Bus26__V_unbalance_post,0.0012535339868321139
Bus15__dV_E72_ratio_C,0.0012495584646398982
Bus04__dI_Res_ratio_B,0.0012430824011645967
Bus01__dV_E28_ratio_C,0.001242930126928595
Bus08__dI_HF_ratio_A,0.0012417197318273724
Bus13__dV_energy_B,0.0012355706028658322
Bus07__I_rms_jump_3ph_max,0.0012346143530423714
Bus23__max_sag,0.001234427854214061
Bus02__dI_energy_B,0.0012341465074090087
Bus30__dV_E72_ratio_B,0.0012330968319817733
Bus17__dI_Res_ratio_C,0.0012322967699390213
Bus17__dV_Res_ratio_C,0.0012306150807952446
Bus12__liss_area_norm_min,0.0012292894997378047
Bus09__I_rms_jump_B,0.0012292264498479715
Bus12__dI_HF_ratio_B,0.001228261085653951
Bus30__V2_ratio,0.0012273949889462028
Bus09__dV_HF_ratio_3ph_max,0.0012256614140671194
Bus23__dV_E72_ratio_B,0.0012226498676093072
Bus24__dI_Res_ratio_A,0.0012162473607359465
Bus10__dV_E72_ratio_C,0.0012155274696508016
Bus13__dI_energy_C,0.0012152749027076254
Bus24__sag_A,0.0012140684235297087
Bus29__I_rms_post_A,0.0012136857391205052
Bus27__dI_HF_ratio_3ph_max,0.001210984766983307
Bus19__I_unbalance_pre,0.0012107010965316965
Bus26__dV_HF_ratio_B,0.001209822146972924
Bus10__dI_energy_B,0.0011985825364824113
Bus19__dV_energy_A,0.001197838549390111
Bus27__dV_E72_ratio_C,0.0011966786843673007
Bus15__dV_Res_ratio_3ph_max,0.0011945143273018259
Bus19__dI_HF_ratio_C,0.0011933699709244083
Bus28__dV_HF_ratio_C,0.0011926014455183633
Bus10__dI_energy_C,0.0011906372424512353
Bus24__dV_Res_ratio_B,0.0011902997189398665
Bus14__dI_HF_ratio_B,0.0011883845846760075
Bus04__dI_HF_ratio_B,0.001186064764552073
Bus09__dV_Res_ratio_A,0.0011855190397100247
Bus05__liss_corr_abs_B,0.001180874030706949
Bus28__dV_E72_ratio_B,0.0011803153333895993
Bus01__I2_ratio,0.001177673431655376
Bus25__dV_Res_ratio_B,0.0011767703491858794
Bus11__liss_area_norm_C,0.0011766898653296032
Bus29__Z_app_pre,0.0011758793849003346
Bus29__max_sag,0.0011751970795102343
Bus13__I2_ratio,0.001175009858359355
Bus25__dV_E72_ratio_B,0.0011746678840372417
Bus04__I_rms_pre_C,0.001173201563728417
Bus26__I_rms_jump_B,0.0011728027681660895
Bus30__dI_Res_ratio_3ph_max,0.0011712269456650478
Bus26__liss_area_norm_C,0.0011659243410779975
Bus27__sag_A,0.0011651958011859398
Bus19__dI_energy_B,0.0011637494989324181
Bus19__sag_B,0.0011624887275200183
Bus28__dV_energy_3ph_mean,0.0011613515249344246
Bus15__dI_energy_C,0.0011579504125892443
Bus30__I2_ratio,0.0011568187135668983
Bus06__dI_HF_ratio_C,0.001156201976625258
Bus13__dV_HF_ratio_A,0.0011555919311734104
Bus16__dV_energy_A,0.0011547765221798405
Bus15__dV_energy_A,0.0011541120742897396
Bus05__dI_energy_3ph_max,0.0011445173786190383
Bus29__dV_energy_3ph_max,0.0011435839435328795
Bus29__dI_Res_ratio_A,0.0011429801650247673
Bus30__dV_HF_ratio_A,0.001142649301711713
Bus17__dI_HF_ratio_A,0.0011417075320385496
Bus12__dV_E72_ratio_A,0.0011412114160805247
Bus14__I2_ratio,0.0011367218225433883
Bus23__dI_energy_B,0.0011362240453566257
Bus12__dV_energy_3ph_max,0.001132336710772688
Bus29__Z_app_post,0.0011313020211596164
Bus02__dV_Res_ratio_A,0.0011298848916376093
Bus18__dV_energy_3ph_mean,0.0011272931775069884
Bus12__dV_Res_ratio_C,0.0011271940238825895
Bus30__I_rms_post_A,0.00112267400362677
Bus07__dI_HF_ratio_3ph_max,0.0011207138217545485
Bus11__Delta_Z_app,0.0011191114271110318
