,Zone1,Zone2,Zone3,Zone4
Zone1,0.8333333333333334,0.1111111111111111,0.0,0.05555555555555555
Zone2,0.07142857142857142,0.7857142857142857,0.14285714285714285,0.0
Zone3,0.07142857142857142,0.35714285714285715,0.5,0.07142857142857142
Zone4,0.0,0.21428571428571427,0.0,0.7857142857142857
