ObservedBus,dV_energy_3ph_max_mean,dV_energy_3ph_max_median,dV_energy_3ph_max_std,dI_energy_3ph_max_mean,dI_energy_3ph_max_median,dI_energy_3ph_max_std,max_sag_mean,max_sag_median,max_sag_std,dV_SSO20_30_ratio_A_mean,dV_SSO20_30_ratio_A_median,dV_SSO20_30_ratio_A_std,I0_ratio_mean,I0_ratio_median,I0_ratio_std,Z_drop_ratio_mean,Z_drop_ratio_median,Z_drop_ratio_std
1,3.590654273691018,0.043157271802840805,17.348647441631623,1.0332972327712284,0.2132744366003478,5.688444478821913,0.17695351475876817,0.1185839824627104,0.21168057002917096,0.10078635192969718,0.11827806883928621,0.0624779829875548,0.12788448632858265,0.0422772452577625,0.18437385715211646,-0.5265361528693672,0.13710335233144566,3.0914658389875536
5,4.309870788580627,0.03047555291092515,19.605780251340747,1.032814479591246,0.19782128200160004,6.19584902379174,0.13319313065056929,0.09197159412743394,0.17468676056172258,0.08254020285699981,0.10520399587794274,0.05031291360574305,0.2971121489398192,0.0738675454369015,0.35787837154249236,0.16179273651443174,0.5354711679056594,1.7795170922004362
13,2.1872574753513185,0.040402059545027,13.688335737036418,0.5459355047412251,0.2347266566764099,2.7378129060836986,0.13483087430026236,0.12564428962520005,0.17211453912974084,0.06978587336480364,0.09037419920473211,0.04141870006244746,0.15131148013790957,0.05366062265644715,0.1906050364398381,-0.6383496873245883,0.2203521101630336,6.229420586946288
30,2.9106961896347494,0.10060623668290945,12.28741474090312,0.026843692877576254,0.00886445311276345,0.08711809996618122,0.3354975309503625,0.3100635225042382,0.286873978492539,0.07197911561720803,0.08622962548063615,0.04161280642103373,0.07733932272445486,0.0536415249885869,0.10900982545224322,-4.150892300628406,-0.00189192182489225,20.059347495386245
AllBusMean,3.352797975456297,0.08400633133212276,15.482437265390912,0.29964322776356994,0.0076320560774726,4.028383472074791,0.26305937641068405,0.21250293478091936,0.25430345886126055,0.08310428060354491,0.09223842753475175,0.052578409381567645,0.11797498489501938,0.042549551692560195,0.2061610420024628,-2.7147517788693714,-0.00054373386812845,14.8191902103271
