k,Method,SelectedBuses,macro_f1,balanced_accuracy,normal_recall,LoadSwitch_recall,fault_precision,SLG_recall,ThreePhase_recall
6,grouped CV feature-aware rank,"[1, 2, 4, 5, 6, 7]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
7,diagnostic single-bus rank,"[1, 2, 4, 5, 6, 7, 8]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,diagnostic dv-energy rank,"[13, 28, 4, 6, 8, 7, 2]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,grouped CV feature-aware rank,"[1, 2, 4, 5, 6, 7, 8]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
8,diagnostic single-bus rank,"[1, 2, 4, 5, 6, 7, 8, 9]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,diagnostic dv-energy rank,"[13, 28, 4, 6, 8, 7, 2, 15]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,grouped CV feature-aware rank,"[1, 2, 4, 5, 6, 7, 8, 9]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,random mean,,0.9983328702417339,0.9983333333333334,1.0,1.0,1.0,1.0,0.9933333333333334
8,random min,,0.9916643512086691,0.9916666666666667,1.0,1.0,1.0,1.0,0.9666666666666667
8,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
9,diagnostic single-bus rank,"[1, 2, 4, 5, 6, 7, 8, 9, 11]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,diagnostic dv-energy rank,"[13, 28, 4, 6, 8, 7, 2, 15, 3]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,grouped CV feature-aware rank,"[1, 2, 4, 5, 6, 7, 8, 9, 11]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
10,diagnostic single-bus rank,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 12]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,diagnostic dv-energy rank,"[13, 28, 4, 6, 8, 7, 2, 15, 3, 1]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,grouped CV feature-aware rank,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 12]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,random mean,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,random min,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,random max,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,single best,[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,single worst,[18],0.9797595893039073,0.9797619047619047,1.0,0.9523809523809523,0.9833333333333333,0.9666666666666667,1.0
