WMUSet,k,NormalFP,LoadSwitchFP,SLGFN,ThreePhaseFN,TotalFP,TotalFN,FaultRecall,NonFaultSpecificity,LoadSwitchSpecificity,BinaryAccuracy,Feasible,FaultScoreMargin,BestThreshold,NonFaultMaxScore,FaultMinScore,ClassifierType,UsedFeatureSet
5,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.17037715340758441,0.10948960603485208,0.024301029331059876,0.1946781827386443,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
6,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.12428295733380001,0.6747318689893199,0.6125903903224199,0.7368733476562199,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
27,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.08748931062213039,0.7145834955057693,0.6708388401947041,0.7583281508168345,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
25,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.028305409472453746,0.7921692156255679,0.778016510889341,0.8063219203617947,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
24,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.025078922527893677,0.9144939488354367,0.9019544875714899,0.9270334100993836,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
22,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,True,0.0015040813586826296,0.8616831407642144,0.8609311000848731,0.8624351814435557,fixed physical threshold rule,max normalized fault severity/sequence/impedance evidence - 0.5 * balanced 67-77Hz LoadSwitch evidence
