CaseName,EventType,TargetBus,ObservedBus,BinaryFaultLabel,FaultEvidence,LoadSwitchEvidence,FaultScore
SSO_ThreePhase_Fault_Bus23,SSO_ThreePhase_Fault,23.0,12,1,0.9960935281711911,0.12903922504139495,0.9315739156504936
SSO_ThreePhase_Fault_Bus24,SSO_ThreePhase_Fault,24.0,12,1,0.9982424037880817,0.10067933194095184,0.9479027378176058
SSO_ThreePhase_Fault_Bus25,SSO_ThreePhase_Fault,25.0,12,1,1.0,0.18709175795715555,0.9064541210214222
SSO_ThreePhase_Fault_Bus26,SSO_ThreePhase_Fault,26.0,12,1,0.9994808677121745,0.2506661076724239,0.8741478138759625
SSO_ThreePhase_Fault_Bus27,SSO_ThreePhase_Fault,27.0,12,1,0.9995468642980062,0.06240166341294649,0.968346032591533
SSO_ThreePhase_Fault_Bus28,SSO_ThreePhase_Fault,28.0,12,1,1.0,0.05526782197489153,0.9723660890125543
SSO_ThreePhase_Fault_Bus29,SSO_ThreePhase_Fault,29.0,12,1,0.9997640291206326,0.2113019356362798,0.8941130613024927
SSO_ThreePhase_Fault_Bus30,SSO_ThreePhase_Fault,30.0,12,1,0.9995717295614494,0.38100875146409846,0.8090673538294001
SSO_LoadSwitch_Bus02,SSO_LoadSwitch,2.0,13,0,0.8432063560354521,0.9997568870542789,0.3433279125083127
SSO_LoadSwitch_Bus03,SSO_LoadSwitch,3.0,13,0,0.8421581344375616,1.0,0.3421581344375616
SSO_LoadSwitch_Bus04,SSO_LoadSwitch,4.0,13,0,0.8425988017044189,0.9999870368782995,0.3426052832652692
SSO_LoadSwitch_Bus05,SSO_LoadSwitch,5.0,13,0,0.8454569646841602,0.9987291981327711,0.3460923656177747
SSO_LoadSwitch_Bus07,SSO_LoadSwitch,7.0,13,0,0.8434436417925876,0.999700253323027,0.34359351513107406
SSO_LoadSwitch_Bus08,SSO_LoadSwitch,8.0,13,0,0.8448073896233366,0.999002053096373,0.34530636307515006
SSO_LoadSwitch_Bus10,SSO_LoadSwitch,10.0,13,0,0.8425877446455405,0.9999955603769975,0.34258996445704176
SSO_LoadSwitch_Bus12,SSO_LoadSwitch,12.0,13,0,0.8470696557992788,0.9978993637880066,0.34811997390527555
SSO_LoadSwitch_Bus14,SSO_LoadSwitch,14.0,13,0,0.8439672737700191,0.999541283501345,0.34419663201934664
SSO_LoadSwitch_Bus15,SSO_LoadSwitch,15.0,13,0,0.8441034830267005,0.9994938489521487,0.34435655855062614
SSO_LoadSwitch_Bus16,SSO_LoadSwitch,16.0,13,0,0.8434656658282088,0.9996902385509249,0.3436205465527464
SSO_LoadSwitch_Bus17,SSO_LoadSwitch,17.0,13,0,0.8430620855795802,0.9998339368877928,0.3431451171356838
SSO_LoadSwitch_Bus18,SSO_LoadSwitch,18.0,13,0,0.842596864770917,0.9999863781532283,0.34260367569430283
SSO_LoadSwitch_Bus19,SSO_LoadSwitch,19.0,13,0,0.8436039097425454,0.9996808606626243,0.34376347941123325
SSO_LoadSwitch_Bus20,SSO_LoadSwitch,20.0,13,0,0.8422922809253233,1.0,0.34229228092532327
SSO_LoadSwitch_Bus21,SSO_LoadSwitch,21.0,13,0,0.8442072283487028,0.9994280921308637,0.3444931822832709
SSO_LoadSwitch_Bus23,SSO_LoadSwitch,23.0,13,0,0.8426724584955617,0.999950812642846,0.3426970521741387
SSO_LoadSwitch_Bus24,SSO_LoadSwitch,24.0,13,0,0.8434109936243558,0.9996750640009767,0.3435734616238674
SSO_LoadSwitch_Bus26,SSO_LoadSwitch,26.0,13,0,0.8423881039738352,1.0,0.34238810397383523
SSO_LoadSwitch_Bus29,SSO_LoadSwitch,29.0,13,0,0.8421847933270916,1.0,0.3421847933270916
SSO_LoadSwitch_Bus30,SSO_LoadSwitch,30.0,13,0,0.8429002628095574,0.999917999081262,0.34294126326892643
SSO_Normal_Case01,SSO_Normal,,13,0,0.8436822339414974,0.10841918398840189,0.7894726419472965
SSO_Normal_Case02,SSO_Normal,,13,0,0.8436822339414974,0.10841918398840189,0.7894726419472965
SSO_Normal_Case03,SSO_Normal,,13,0,0.8436822339414974,0.10841918398840189,0.7894726419472965
SSO_SLG_Fault_Bus01,SSO_SLG_Fault,1.0,13,1,0.9103328346871692,0.08779863156604331,0.8664335189041475
SSO_SLG_Fault_Bus02,SSO_SLG_Fault,2.0,13,1,0.907492090097642,0.09706701981705669,0.8589585801891136
SSO_SLG_Fault_Bus03,SSO_SLG_Fault,3.0,13,1,0.9229956735340907,0.09133622317118784,0.8773275619484968
SSO_SLG_Fault_Bus04,SSO_SLG_Fault,4.0,13,1,0.9415132197410904,0.0890979408673899,0.8969642493073954
SSO_SLG_Fault_Bus05,SSO_SLG_Fault,5.0,13,1,0.8916975526691243,0.14012309256056538,0.8216360063888416
SSO_SLG_Fault_Bus06,SSO_SLG_Fault,6.0,13,1,1.0,0.069682547832873,0.9651587260835635
SSO_SLG_Fault_Bus07,SSO_SLG_Fault,7.0,13,1,0.9008846247549034,0.11546873887464557,0.8431502553175806
SSO_SLG_Fault_Bus08,SSO_SLG_Fault,8.0,13,1,0.9095507366237238,0.09866512187239766,0.8602181756875249
SSO_SLG_Fault_Bus09,SSO_SLG_Fault,9.0,13,1,0.9074443803754951,0.12024701286352835,0.847320873943731
SSO_SLG_Fault_Bus10,SSO_SLG_Fault,10.0,13,1,0.9084903293010735,0.12854327457552334,0.8442186920133119
SSO_SLG_Fault_Bus11,SSO_SLG_Fault,11.0,13,1,0.8806153235072447,0.2199055630904208,0.7706625419620343
SSO_SLG_Fault_Bus12,SSO_SLG_Fault,12.0,13,1,1.0,0.07609821245616623,0.9619508937719169
SSO_SLG_Fault_Bus13,SSO_SLG_Fault,13.0,13,1,1.0,0.08463527064100897,0.9576823646794955
SSO_SLG_Fault_Bus14,SSO_SLG_Fault,14.0,13,1,1.0,0.08515836490227449,0.9574208175488628
SSO_SLG_Fault_Bus15,SSO_SLG_Fault,15.0,13,1,1.0,0.08196860334283905,0.9590156983285805
SSO_SLG_Fault_Bus16,SSO_SLG_Fault,16.0,13,1,0.9463458661997216,0.09087684172277034,0.9009074453383364
SSO_SLG_Fault_Bus17,SSO_SLG_Fault,17.0,13,1,0.8903623014043511,0.15703197326462384,0.8118463147720392
SSO_SLG_Fault_Bus18,SSO_SLG_Fault,18.0,13,1,0.9144183243103725,0.12370811923345469,0.8525642646936452
SSO_SLG_Fault_Bus19,SSO_SLG_Fault,19.0,13,1,0.9056072124357272,0.11920605243124945,0.8460041862201024
SSO_SLG_Fault_Bus20,SSO_SLG_Fault,20.0,13,1,0.900397164619034,0.1573951737962505,0.8216995777209087
SSO_SLG_Fault_Bus21,SSO_SLG_Fault,21.0,13,1,0.902706091795325,0.13533265064185487,0.8350397664743976
SSO_SLG_Fault_Bus22,SSO_SLG_Fault,22.0,13,1,0.9033188754223227,0.1345351431367468,0.8360513038539493
