Bus,Role,Feasible,Margin,FaultMinScore,NonFaultMaxScore,LoadSwitchFP,MissedFaultCount,LoadSwitchBalancedE72Median,FaultDVSeverityMedian,FaultI0RatioMedian,Degree,BetweennessCentrality,ClosenessCentrality
5,selected hard-constraint bus,True,0.1703771534075844,0.1946781827386443,0.0243010293310598,0,0,0.9826344254571476,0.0432777861082385,0.31232606790435946,2,0.0024630541871921183,0.27102803738317754
1,previous four-class greedy bus,False,-0.1017838478324396,0.6822724106056539,0.7840562584380936,0,0,0.9725574381292597,0.08747558578660605,0.0961211322370315,2,0.0024630541871921183,0.27102803738317754
6,second margin feasible bus,True,0.1242829573338,0.7368733476562199,0.6125903903224199,0,0,0.9781936903779216,0.11637130029725085,0.32701961406906516,7,0.43493431855500825,0.4393939393939394
27,third margin feasible bus,True,0.0874893106221303,0.7583281508168345,0.6708388401947041,0,0,0.9819240008183784,0.13290392043630206,0.33065683706511323,4,0.18924466338259444,0.30851063829787234
12,representative combined-failure bus,False,-0.3422000492438088,0.5566251021800095,0.8988251514238184,1,0,0.9684270246613798,0.13602325750108074,0.046596390637378804,5,0.21551724137931036,0.3493975903614458
