CaseName,EventType,TargetBus,PredBus,Top3Pred,ExactMatch,Top3Match,OneHopMatch,TwoHopMatch,GraphDistance,TrueZone,PredZone,ZoneMatch
SSO_ThreePhase_Fault_Bus15,SSO_ThreePhase_Fault,15.0,9,"[9, 27, 25]",False,False,False,False,4,Zone3,Zone2,False
SSO_ThreePhase_Fault_Bus16,SSO_ThreePhase_Fault,16.0,14,"[14, 25, 27]",False,False,False,True,2,Zone2,Zone3,False
SSO_ThreePhase_Fault_Bus17,SSO_ThreePhase_Fault,17.0,9,"[9, 22, 25]",False,False,False,True,2,Zone2,Zone2,True
SSO_ThreePhase_Fault_Bus18,SSO_ThreePhase_Fault,18.0,9,"[9, 25, 19]",False,False,False,False,4,Zone3,Zone2,False
SSO_ThreePhase_Fault_Bus19,SSO_ThreePhase_Fault,19.0,9,"[9, 25, 20]",False,False,False,False,3,Zone3,Zone2,False
SSO_ThreePhase_Fault_Bus20,SSO_ThreePhase_Fault,20.0,9,"[9, 25, 22]",False,False,False,True,2,Zone3,Zone2,False
SSO_ThreePhase_Fault_Bus21,SSO_ThreePhase_Fault,21.0,22,"[22, 9, 25]",False,False,True,True,1,Zone2,Zone2,True
SSO_ThreePhase_Fault_Bus22,SSO_ThreePhase_Fault,22.0,9,"[9, 21, 25]",False,False,False,True,2,Zone2,Zone2,True
SSO_ThreePhase_Fault_Bus23,SSO_ThreePhase_Fault,23.0,25,"[25, 27, 9]",False,False,False,True,2,Zone4,Zone4,True
SSO_ThreePhase_Fault_Bus24,SSO_ThreePhase_Fault,24.0,25,"[25, 27, 22]",False,False,True,True,1,Zone4,Zone4,True
SSO_ThreePhase_Fault_Bus25,SSO_ThreePhase_Fault,25.0,27,"[27, 24, 22]",False,False,True,True,1,Zone4,Zone4,True
SSO_ThreePhase_Fault_Bus26,SSO_ThreePhase_Fault,26.0,25,"[25, 27, 30]",False,False,True,True,1,Zone4,Zone4,True
SSO_ThreePhase_Fault_Bus27,SSO_ThreePhase_Fault,27.0,25,"[25, 28, 22]",False,False,True,True,1,Zone4,Zone4,True
SSO_ThreePhase_Fault_Bus28,SSO_ThreePhase_Fault,28.0,27,"[27, 25, 9]",False,False,True,True,1,Zone1,Zone4,False
SSO_ThreePhase_Fault_Bus29,SSO_ThreePhase_Fault,29.0,25,"[25, 27, 30]",False,False,False,True,2,Zone4,Zone4,True
SSO_ThreePhase_Fault_Bus30,SSO_ThreePhase_Fault,30.0,25,"[25, 27, 29]",False,False,False,True,2,Zone4,Zone4,True
