Rank,Feature,Source,ObservedBus,LoadSwitchVsRestCliffsDelta,LoadSwitchVsRestAbsCliffsDelta,LoadSwitchVsNormalCliffsDelta,LoadSwitchVsSLGCliffsDelta,LoadSwitchVsThreePhaseCliffsDelta,KruskalWallisPValue,OneFeatureBalancedAccuracy,OneFeatureF1,Normal_Mean,Normal_Median,Normal_IQR,LoadSwitch_Mean,LoadSwitch_Median,LoadSwitch_IQR,SLG_Fault_Mean,SLG_Fault_Median,SLG_Fault_IQR,ThreePhase_Fault_Mean,ThreePhase_Fault_Median,ThreePhase_Fault_IQR,Signal,BandHz,Aggregation
163,raw_dI_band_40_50Hz_ratio_B,raw-derived,1,-0.782312925170068,0.782312925170068,-1.0,-0.5428571428571428,-1.0,8.359305595118394e-14,0.7698412698412698,0.6101694915254238,0.043799857409191956,0.043799857409191956,0.0,0.00026803040915389224,9.749207960168017e-05,6.659345090619811e-05,0.0023381983707729662,0.00044896862459773324,0.0030853604799908497,0.16496747106167076,0.17397447727459509,0.030621577319906335,dI,40_50Hz,B
165,raw_dI_band_50_60Hz_ratio_B,raw-derived,1,-0.8427815570672713,0.8427815570672713,-1.0,-0.7365079365079366,-0.9333333333333333,5.989465558966262e-13,0.7619047619047619,0.625,0.09847202570262016,0.09847202570262016,0.0,0.000254183456391673,3.808441260603743e-05,1.8046024982465156e-05,0.003928284758696307,0.0005351831919942094,0.004173873559171133,0.10506254559651648,0.11018005053428248,0.02162422017905151,dI,50_60Hz,B
166,raw_dI_band_67_77Hz_ratio_3ph_max,raw-derived,1,0.7112622826908541,0.7112622826908541,1.0,0.39365079365079364,1.0,1.6501725696915407e-13,0.7619047619047619,0.6,0.18226457647326635,0.18226457647326635,0.0,0.7951766487567179,0.7970142137405117,0.0025290815337462025,0.7674975647753364,0.7947358132756781,0.0311886778200694,0.08691524764268546,0.07927328267057587,0.02632831823117844,dI,67_77Hz,3ph_max
167,raw_dI_band_70_80Hz_ratio_3ph_max,raw-derived,1,0.7097505668934241,0.7097505668934241,1.0,0.3904761904761905,1.0,1.731854306293722e-13,0.7619047619047619,0.6,0.5485661470926564,0.5485661470926564,0.0,0.7950968027463569,0.7970130334480913,0.002530867037923712,0.761926457006828,0.794733853562291,0.031307668527453925,0.06952918968362076,0.05501507037398458,0.03407165477343655,dI,70_80Hz,3ph_max
168,raw_dI_band_60_80Hz_ratio_3ph_max,raw-derived,1,0.7006802721088435,0.7006802721088435,1.0,0.37142857142857144,1.0,1.9090893988178863e-13,0.7619047619047619,0.6,0.5881370579554179,0.5881370579554179,0.0,0.7953129984735676,0.7970284527232362,0.0025248561138573322,0.7709539980693897,0.7949480777713178,0.029264554095659756,0.12813540218318645,0.12562154057896469,0.029745649157315146,dI,60_80Hz,3ph_max
169,raw_dI_band_67_77Hz_ratio_C,raw-derived,1,0.6674225245653818,0.6674225245653818,1.0,0.30158730158730157,1.0,2.33272598487729e-13,0.7619047619047619,0.6,0.18226457647326635,0.18226457647326635,0.0,0.7945630723733237,0.7967550805178188,0.0016382845008161562,0.7642419688160909,0.7947358132756781,0.033191122143284124,0.07592916284911248,0.07053556877458178,0.02094620038699211,dI,67_77Hz,C
170,raw_dI_band_70_80Hz_ratio_C,raw-derived,1,0.6674225245653818,0.6674225245653818,1.0,0.30158730158730157,1.0,2.923223565102735e-13,0.7619047619047619,0.6,0.5485661470926564,0.5485661470926564,0.0,0.7944827400587029,0.7967395015898165,0.0016428444213664184,0.7582326894260093,0.794733853562291,0.03342294627845144,0.04581971902797832,0.03548291963622115,0.02448116960610575,dI,70_80Hz,C
171,raw_dI_band_60_80Hz_ratio_C,raw-derived,1,0.6598639455782312,0.6598639455782312,1.0,0.2857142857142857,1.0,2.7880983766481115e-13,0.7619047619047619,0.6,0.5881370579554179,0.5881370579554179,0.0,0.7947047656547475,0.7967944608899235,0.001615308551480732,0.767933636000486,0.7949480777713178,0.030959418934015992,0.11258567900347403,0.10760639668035209,0.03785887800340186,dI,60_80Hz,C
172,raw_dI_band_10_20Hz_ratio_C,raw-derived,1,-0.327286470143613,0.327286470143613,-1.0,0.4126984126984127,-1.0,1.244083049219613e-12,0.7619047619047619,0.59375,0.004867602347434517,0.004867602347434517,0.0,0.0002664198649357135,0.0002116517981936898,2.350902772944421e-05,0.008612546479218148,7.139137872826841e-05,0.0003780807150381394,0.12397100530951326,0.10330667850937811,0.07005547786676025,dI,10_20Hz,C
173,raw_dI_band_0_10Hz_ratio_B,raw-derived,1,-0.1746031746031746,0.1746031746031746,-1.0,0.7333333333333333,-1.0,2.1288166174971112e-14,0.7619047619047619,0.5882352941176471,0.00213382157171252,0.00213382157171252,0.0,0.0008463617083230297,0.0008255469575791768,1.6719404747738797e-05,0.0005983876712159048,3.2882077227088632e-06,3.2463890442098274e-05,0.04019094073006721,0.025289911006426774,0.02288393697068463,dI,0_10Hz,B
176,raw_dI_band_100_150Hz_ratio_B,raw-derived,1,-0.46938775510204084,0.46938775510204084,-1.0,0.11428571428571428,-1.0,4.324507870411812e-10,0.753968253968254,0.5901639344262295,0.004885833126118891,0.004885833126118891,0.0,6.688152617139786e-05,5.237472982975999e-05,2.8015811776299903e-06,0.0013115522626253211,4.8050411258952216e-05,0.0002787365106573735,0.0033424090303212444,0.0034454542824150485,0.0005952336542279714,dI,100_150Hz,B
177,raw_dI_band_70_80Hz_ratio_B,raw-derived,1,0.4708994708994709,0.4708994708994709,1.0,-0.1111111111111111,1.0,4.5100900607310946e-13,0.746031746031746,0.5806451612903226,0.5428872054691097,0.5428872054691097,0.0,0.7883989506040583,0.7906120165983018,0.0012156099734901282,0.7557858008647916,0.7925072044917091,0.031205111726401835,0.0673883559330641,0.051508871883819723,0.03748576436821094,dI,70_80Hz,B
178,raw_dI_band_67_77Hz_ratio_B,raw-derived,1,0.46938775510204084,0.46938775510204084,1.0,-0.11428571428571428,1.0,4.2362498745456834e-13,0.746031746031746,0.5806451612903226,0.17678028053028536,0.17678028053028536,0.0,0.7884603935178393,0.7906149017794184,0.0012164704228574408,0.7613808014793905,0.792512599289334,0.031061365970739163,0.08083793250106765,0.06471518715895229,0.0365957929701102,dI,67_77Hz,B
179,raw_dI_band_60_80Hz_ratio_B,raw-derived,1,0.46485260770975056,0.46485260770975056,1.0,-0.12380952380952381,1.0,4.424529058456654e-13,0.746031746031746,0.5806451612903226,0.5813981785275912,0.5813981785275912,0.0,0.7886179135189861,0.7906708149778651,0.0011767048686803783,0.7647958895480916,0.7927090963914434,0.029197835007739092,0.120050703521132,0.10392534648191001,0.04215665715684069,dI,60_80Hz,B
186,raw_dI_band_20_30Hz_ratio_C,raw-derived,1,-0.25018896447467875,0.25018896447467875,1.0,0.09523809523809523,-0.7206349206349206,2.3284301936637895e-07,0.6825396825396826,0.5142857142857142,0.18359625216202613,0.18359625216202613,0.0,0.20393506014023607,0.2025266104845081,0.0015448309917369396,0.19965322170677088,0.20278060371048878,0.009022015670204497,0.24644727962220514,0.25074574957849405,0.035246420387148175,dI,20_30Hz,C
188,raw_dI_band_20_30Hz_ratio_B,raw-derived,1,-0.04610733182161754,0.04610733182161754,1.0,0.3492063492063492,-0.546031746031746,3.708997348988478e-05,0.6349206349206349,0.47368421052631576,0.19201366874502357,0.19201366874502357,0.0,0.2084907448979712,0.20716752064906746,0.0011514694602752784,0.20313857276331207,0.20510416618278543,0.010457644206832567,0.23726497040628178,0.24189574765768002,0.044095781951952406,dI,20_30Hz,B
