Rank,Feature,Source,ObservedBus,LoadSwitchVsRestCliffsDelta,LoadSwitchVsRestAbsCliffsDelta,LoadSwitchVsNormalCliffsDelta,LoadSwitchVsSLGCliffsDelta,LoadSwitchVsThreePhaseCliffsDelta,KruskalWallisPValue,OneFeatureBalancedAccuracy,OneFeatureF1,Normal_Mean,Normal_Median,Normal_IQR,LoadSwitch_Mean,LoadSwitch_Median,LoadSwitch_IQR,SLG_Fault_Mean,SLG_Fault_Median,SLG_Fault_IQR,ThreePhase_Fault_Mean,ThreePhase_Fault_Median,ThreePhase_Fault_IQR,Signal,BandHz,Aggregation
42,raw_dI_band_80_100Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,5.3459324411866255e-11,0.9920634920634921,0.9767441860465116,0.006073259349452887,0.006073259349452887,0.0,2.6233404077564694e-05,1.4120199323307382e-05,2.663843191047015e-06,0.0038704080335070865,0.0039790331120936,0.0008989262360948442,0.004229139820187094,0.0038773144881303775,0.0007922024948850302,dI,80_100Hz,A
43,raw_dV_band_80_100Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,7.804957048924695e-11,0.9920634920634921,0.9767441860465116,0.011376282607165689,0.011376282607165689,0.0,2.595355585499601e-05,7.952569195934551e-06,3.95158156653078e-06,0.015925872055910586,0.019099609457187375,0.01130522362850803,0.03662890688654968,0.019300075422241773,0.007921597206392197,dV,80_100Hz,A
45,raw_dV_band_30_40Hz_ratio_C,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,9.609969607800063e-11,0.9920634920634921,0.9767441860465116,0.020973951809366047,0.020973951809366047,0.0,7.04848186918477e-05,1.642928484193432e-05,1.2030627778757108e-05,0.07593032341031782,0.05514058679699689,0.13525724535211864,0.09021159670018539,0.0903303005753401,0.03578992542026971,dV,30_40Hz,C
46,raw_dI_band_60_70Hz_ratio_3ph_max,raw-derived,1,-0.99848828420257,0.99848828420257,-1.0,-1.0,-0.9968253968253968,1.4914185179673968e-13,0.9920634920634921,0.9767441860465116,0.039570910862761606,0.039570910862761606,0.0,0.0002348174201631972,4.5254508681703284e-05,4.882790723134724e-05,0.042987997987912745,0.039414746801761595,0.008425758121671595,0.06677779704071886,0.06999547993834143,0.00711247799857713,dI,60_70Hz,3ph_max
47,raw_dV_band_50_60Hz_ratio_3ph_max,raw-derived,1,-0.99848828420257,0.99848828420257,-1.0,-1.0,-0.9968253968253968,1.0538133826643036e-10,0.9920634920634921,0.9767441860465116,0.07726959455194128,0.07726959455194128,0.0,0.00017457583959930466,2.0431020848668157e-05,2.66210717327666e-05,0.16769681165307737,0.18602636595321348,0.056705164233112976,0.1740923999458963,0.2032903803825853,0.1548419348682034,dV,50_60Hz,3ph_max
48,raw_dI_band_60_70Hz_ratio_A,raw-derived,1,-0.99848828420257,0.99848828420257,-1.0,-1.0,-0.9968253968253968,3.2996371732173904e-10,0.9841269841269842,0.9545454545454546,0.03907138724885517,0.03907138724885517,0.0,0.00012658539701409184,1.4499276249244852e-05,1.8416857551246913e-05,0.038091083752702266,0.039179323267871886,0.008247980531784917,0.03658579436646296,0.03752360663618844,0.006382440833062941,dI,60_70Hz,A
49,raw_dI_band_50_60Hz_ratio_3ph_max,raw-derived,1,-0.9969765684051398,0.9969765684051398,-1.0,-1.0,-0.9936507936507937,3.525521755486484e-15,0.9841269841269842,0.9545454545454546,0.09958829751097813,0.09958829751097813,0.0,0.00027427495281252487,3.808441260603743e-05,1.8046024982465156e-05,0.07558459150788238,0.07811561529130559,0.01889347958063578,0.13715026339460432,0.1458162136818673,0.025092597849858955,dI,50_60Hz,3ph_max
50,raw_dI_band_50_60Hz_ratio_A,raw-derived,1,-0.9924414210128496,0.9924414210128496,-1.0,-1.0,-0.9841269841269841,4.541877143401839e-11,0.9841269841269842,0.9545454545454546,0.09659398864545292,0.0965939886454529,0.0,0.00025179412770359326,3.4002434668283745e-05,3.245831774623975e-05,0.07558459150788238,0.07811561529130559,0.01889347958063578,0.07132817414642924,0.07393312827558539,0.015279864828559295,dI,50_60Hz,A
54,raw_dI_band_0_10Hz_ratio_A,raw-derived,1,-0.981859410430839,0.981859410430839,-0.6190476190476191,-1.0,-1.0,3.556430470618113e-11,0.9761904761904762,0.9333333333333333,0.0016276060600203558,0.0016276060600203556,0.0,0.0015621565967335535,0.0015080391708592353,1.8100458935876992e-05,0.03629783693602259,0.03266025297610302,0.022377103133588216,0.05323136743777632,0.03621435491565816,0.033517878700755024,dI,0_10Hz,A
81,raw_dV_band_100_150Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,1.843741033417565e-14,0.9682539682539681,0.9523809523809523,0.012279736787788953,0.012279736787788953,0.0,9.103353035740568e-05,2.6245442143217553e-05,1.911640040918839e-05,0.014784466533169798,0.017903578409093533,0.013780099304690015,0.05765787473188991,0.035363929614428496,0.01671071528431041,dV,100_150Hz,3ph_max
82,raw_dV_band_40_50Hz_ratio_C,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,2.305326210414222e-11,0.9682539682539681,0.9523809523809523,0.020466837816366774,0.020466837816366774,0.0,6.628080829655497e-05,9.802470054155634e-06,1.254478664337517e-05,0.08459511523558474,0.059010836603461285,0.15609744584865834,0.13702790508714333,0.16689280860482547,0.13075515930147974,dV,40_50Hz,C
83,raw_dV_band_40_50Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,2.5240918242975724e-11,0.9682539682539681,0.9523809523809523,0.02040263894302212,0.02040263894302212,0.0,9.490536506429429e-05,1.9571297796037727e-05,1.9195984307383476e-05,0.19428837817082717,0.20776346333968404,0.024769835970136683,0.13197339837093455,0.1596290474851216,0.17222301379872468,dV,40_50Hz,A
85,raw_dI_band_0_10Hz_ratio_3ph_max,raw-derived,1,-0.9954648526077098,0.9954648526077098,-0.9047619047619048,-1.0,-1.0,3.030660914134671e-11,0.9682539682539681,0.9523809523809523,0.00213382157171252,0.00213382157171252,0.0,0.0015621565967335535,0.0015080391708592353,1.8100458935876992e-05,0.03629783693602259,0.03266025297610302,0.022377103133588216,0.05387754085903222,0.03621435491565816,0.035211473863671044,dI,0_10Hz,3ph_max
88,raw_dV_band_60_80Hz_ratio_C,raw-derived,1,0.99848828420257,0.99848828420257,1.0,0.9968253968253968,1.0,3.2829418363564773e-11,0.9603174603174602,0.9302325581395349,0.8279077205564831,0.8279077205564831,0.0,0.9722326929145385,0.9729889297310156,0.0003085761292392908,0.5210930301206902,0.6096246767268445,0.774613332282329,0.21432311238217583,0.23363509167017582,0.11061359971124768,dV,60_80Hz,C
89,raw_dV_band_20_30Hz_ratio_3ph_max,raw-derived,1,-0.9501133786848073,0.9501133786848073,-0.6190476190476191,-1.0,-0.9333333333333333,4.808614748675199e-12,0.9603174603174602,0.8936170212765957,0.02835764744320342,0.02835764744320342,0.0,0.027754271381029424,0.027308975768072508,0.0004111170462816928,0.17370461582095054,0.1566539930423428,0.08360105504335802,0.12237889648159508,0.12938068168985517,0.03194399486038629,dV,20_30Hz,3ph_max
91,raw_dV_band_80_100Hz_ratio_C,raw-derived,1,-0.9909297052154195,0.9909297052154195,-1.0,-0.9809523809523809,-1.0,3.851927310925985e-15,0.9523809523809523,0.9090909090909091,0.012177419061128592,0.012177419061128592,0.0,6.498013951246411e-05,1.31985162244761e-05,1.6227495228556848e-05,0.00435096934668644,0.002468917346062407,0.005233568205319421,0.040120416521925474,0.03535434831846092,0.014837278162800973,dV,80_100Hz,C
98,raw_dV_band_70_80Hz_ratio_B,raw-derived,1,0.8987150415721844,0.8987150415721844,1.0,0.7873015873015873,1.0,1.1136101242947693e-09,0.9444444444444444,0.8571428571428571,0.7799259033484005,0.7799259033484005,0.0,0.9720042037577648,0.9728854947955539,0.00035609780141376834,0.4566574268337057,0.4851685864958666,0.8227144932308149,0.1562037814089056,0.13942871164318948,0.10381894380744838,dV,70_80Hz,B
99,raw_dV_band_60_80Hz_ratio_B,raw-derived,1,0.8881330309901738,0.8881330309901738,1.0,0.765079365079365,1.0,4.580719135511659e-09,0.9444444444444444,0.8571428571428571,0.8259147190549997,0.8259147190549997,0.0,0.9721761112372695,0.9729034603285607,0.0003285671613144636,0.48544730320005824,0.5055730271401113,0.7735006988398817,0.2640863298360638,0.2807856084692267,0.13489546241430594,dV,60_80Hz,B
103,raw_dV_band_20_30Hz_ratio_A,raw-derived,1,-0.8034769463340892,0.8034769463340892,1.0,-1.0,-0.7873015873015873,1.182925895970054e-11,0.9444444444444444,0.8571428571428571,0.02653526700687553,0.02653526700687553,0.0,0.027754271381029424,0.027308975768072508,0.0004111170462816928,0.1572466446286825,0.1364663744356405,0.07392007859795144,0.10287362410706154,0.11929942147360734,0.0357375637922939,dV,20_30Hz,A
104,raw_dV_band_70_80Hz_ratio_C,raw-derived,1,0.99848828420257,0.99848828420257,1.0,0.9968253968253968,1.0,9.98884691228517e-12,0.9365079365079365,0.9047619047619048,0.7877580977790043,0.7877580977790044,0.0,0.972046588270848,0.9729706710280998,0.0003264161764887641,0.495330142757712,0.585203581161561,0.8190197686291318,0.09698971084217077,0.0846349953076217,0.036214077779739395,dV,70_80Hz,C
106,raw_dV_band_67_77Hz_ratio_C,raw-derived,1,0.99848828420257,0.99848828420257,1.0,0.9968253968253968,1.0,4.786316142007871e-11,0.9365079365079365,0.9047619047619048,0.22996391155438953,0.2299639115543895,0.0,0.9721320548414263,0.9729786080089959,0.00031683268379867346,0.5036284633571368,0.5910459703549219,0.803337801270958,0.16126422027679513,0.17250347361567483,0.08831998069459265,dV,67_77Hz,C
107,raw_dV_band_30_40Hz_ratio_B,raw-derived,1,-0.9969765684051398,0.9969765684051398,-1.0,-0.9936507936507937,-1.0,1.2345997077869578e-10,0.9365079365079365,0.9047619047619048,0.022791257678867898,0.022791257678867895,0.0,7.939632046074465e-05,1.4221525965059143e-05,1.477037995533282e-05,0.08540251673295034,0.07759764618823711,0.1352482981723251,0.09477596830520793,0.0989426770536245,0.02826535799442592,dV,30_40Hz,B
109,raw_dV_band_67_77Hz_ratio_B,raw-derived,1,0.8987150415721844,0.8987150415721844,1.0,0.7873015873015873,1.0,5.339442659121466e-09,0.9365079365079365,0.84,0.23183460666456765,0.23183460666456762,0.0,0.9720853134916843,0.9728942570841588,0.00034296623867624554,0.46618772822670745,0.4930420558142246,0.8065840661795933,0.19422106029730477,0.19106572444943792,0.11171636059256554,dV,67_77Hz,B
110,raw_dV_band_70_80Hz_ratio_3ph_max,raw-derived,1,0.8972033257747544,0.8972033257747544,1.0,0.7841269841269841,1.0,1.5879865958039917e-09,0.9365079365079365,0.8695652173913043,0.7877580977790043,0.7877580977790044,0.0,0.97211108321449,0.9729706710280998,0.0003264161764887641,0.5378033722982276,0.6973338941174563,0.8564709331198539,0.16657242860400842,0.14368515696456724,0.08410029830319588,dV,70_80Hz,3ph_max
111,raw_dV_band_67_77Hz_ratio_3ph_max,raw-derived,1,0.8972033257747544,0.8972033257747544,1.0,0.7841269841269841,1.0,4.142926391029041e-09,0.9365079365079365,0.8695652173913043,0.24080973503988798,0.24080973503988798,0.0,0.9721739444034386,0.9729786080089959,0.00031683268379867346,0.5455289942715095,0.7022719767318453,0.8409971107126284,0.20767196190648674,0.20476943875913736,0.06942133451835986,dV,67_77Hz,3ph_max
112,raw_dV_band_60_80Hz_ratio_3ph_max,raw-derived,1,0.891156462585034,0.891156462585034,1.0,0.7714285714285715,1.0,3.676601243737571e-09,0.9365079365079365,0.8695652173913043,0.8285239363209493,0.8285239363209493,0.0,0.9722599208630113,0.9729889297310156,0.0003085761292392908,0.5618119649624513,0.7102910008991703,0.806202336573947,0.28257301100601434,0.29238048054588434,0.0888593528907036,dV,60_80Hz,3ph_max
115,raw_dV_band_50_60Hz_ratio_B,raw-derived,1,-0.9758125472411187,0.9758125472411187,-1.0,-0.9523809523809523,-0.9968253968253968,9.065959326158268e-12,0.9285714285714286,0.851063829787234,0.07253591867923694,0.07253591867923694,0.0,0.00017036543206514024,2.0181824582851397e-05,2.7738773188822152e-05,0.06130454668030929,0.05170341185577497,0.09392123302166547,0.14353007893140032,0.16235140243416077,0.13734514021602745,dV,50_60Hz,B
119,raw_dV_band_50_60Hz_ratio_A,raw-derived,1,-0.9939531368102796,0.9939531368102796,-1.0,-1.0,-0.9873015873015873,1.5081497941720912e-10,0.9206349206349206,0.9,0.07726959455194128,0.07726959455194128,0.0,0.0001511105421813813,1.3887978477291861e-05,2.0386848508631512e-05,0.16736148662052225,0.18602636595321348,0.056705164233112976,0.12875334844105854,0.15160605291230844,0.14436162961469634,dV,50_60Hz,A
121,raw_dV_band_40_50Hz_ratio_B,raw-derived,1,-0.9969765684051398,0.9969765684051398,-1.0,-0.9936507936507937,-1.0,7.307368114766734e-11,0.9126984126984127,0.8780487804878049,0.023731213091283666,0.023731213091283666,0.0,7.078059276913992e-05,1.05651731592541e-05,1.2495005679400287e-05,0.0930315251657246,0.0749460280438724,0.14805755018290892,0.1275463868760067,0.14913259851367971,0.1359204387140621,dV,40_50Hz,B
122,raw_dV_band_60_70Hz_ratio_C,raw-derived,1,-0.9924414210128496,0.9924414210128496,-1.0,-0.9841269841269841,-1.0,6.417087545293662e-14,0.9126984126984127,0.8780487804878049,0.04014962277747871,0.04014962277747871,0.0,0.00018610464369057494,1.787956705692192e-05,2.81482768706441e-05,0.025762887362978305,0.018160403623875786,0.040870942923701956,0.11733340154000507,0.1435684476227763,0.09124694176851153,dV,60_70Hz,C
124,raw_dV_band_80_100Hz_ratio_B,raw-derived,1,-0.9939531368102796,0.9939531368102796,-1.0,-0.9873015873015873,-1.0,1.9313545598607366e-15,0.9047619047619047,0.8571428571428571,0.012304556005744635,0.012304556005744635,0.0,5.645001651846278e-05,1.1612465851964965e-05,1.550721445802728e-05,0.004396991945082957,0.004367874548306708,0.005701090978741669,0.03746920943194984,0.02373896229322309,0.013585350246273258,dV,80_100Hz,B
125,raw_dV_band_60_70Hz_ratio_B,raw-derived,1,-0.983371126228269,0.983371126228269,-1.0,-0.9650793650793651,-1.0,3.280369421394068e-14,0.8968253968253967,0.8372093023255814,0.045988815706599205,0.0459888157065992,0.0,0.00017190747950502104,1.743533175865683e-05,3.178915868199918e-05,0.028789876366352593,0.022486784687854637,0.04434702257913169,0.10788254842715819,0.12499534190901834,0.04056592996972555,dV,60_70Hz,B
126,raw_dI_band_80_100Hz_ratio_C,raw-derived,1,-0.9606953892668179,0.9606953892668179,-1.0,-0.9174603174603174,-1.0,1.1299170534208737e-12,0.8968253968253967,0.8372093023255814,0.005997409537134019,0.005997409537134019,0.0,5.512680885595093e-05,1.978912222067402e-05,1.3269672569076117e-05,0.006611812836431679,0.00046837180241532205,0.0019775244766311022,0.008801243892024583,0.008762150916226796,0.0015126569939744663,dI,80_100Hz,C
127,raw_dI_band_80_100Hz_ratio_B,raw-derived,1,-0.9349962207105065,0.9349962207105065,-1.0,-0.8634920634920635,-1.0,1.022211151358166e-11,0.8968253968253967,0.8372093023255814,0.0060417956011024595,0.0060417956011024595,0.0,7.78915959187875e-05,4.541141327677208e-05,1.5364591139398198e-05,0.005897922974551661,0.0004549510399741427,0.0016950196872476586,0.005870828389824753,0.006032866781450602,0.0010309644923204324,dI,80_100Hz,B
130,raw_dV_band_50_60Hz_ratio_C,raw-derived,1,-0.9863945578231292,0.9863945578231292,-1.0,-0.9904761904761905,-0.9809523809523809,4.0894021645491356e-11,0.8888888888888888,0.8181818181818182,0.07517241001065574,0.07517241001065574,0.0,0.00017446035217079706,2.0431020848668157e-05,2.5701400137559314e-05,0.05592613690456952,0.03859126891985479,0.09333929245337837,0.15637102538174077,0.2032903803825853,0.17808771716003274,dV,50_60Hz,C
131,raw_dV_band_100_150Hz_ratio_B,raw-derived,1,-0.9758125472411187,0.9758125472411187,-1.0,-0.9492063492063492,-1.0,1.3295132035630948e-15,0.873015873015873,0.782608695652174,0.010027338510396258,0.010027338510396258,0.0,6.845233999225565e-05,1.7322852793746706e-05,1.7611540381651506e-05,0.002605750567119243,0.002018641381807889,0.0034969323412972642,0.0485010570015774,0.028204148663687333,0.02030552176019535,dV,100_150Hz,B
134,raw_dV_band_20_30Hz_ratio_C,raw-derived,1,-0.6825396825396826,0.6825396825396826,1.0,-0.8,-0.7333333333333333,2.1352727536060458e-07,0.873015873015873,0.76,0.025421942085699298,0.025421942085699298,0.0,0.02705741807011716,0.02681349587624632,0.0002517246058689922,0.126002989708396,0.09991717751548554,0.158036277143167,0.07859799425799334,0.07523648251453757,0.03563776474266364,dV,20_30Hz,C
135,raw_dV_band_100_150Hz_ratio_C,raw-derived,1,-0.9773242630385488,0.9773242630385488,-1.0,-0.9523809523809523,-1.0,2.060380538439779e-15,0.8650793650793651,0.7659574468085106,0.012279736787788953,0.012279736787788953,0.0,9.103353035740568e-05,2.6245442143217553e-05,1.911640040918839e-05,0.002334410741042465,0.0018085944037920406,0.0032426303425803025,0.049171829854767125,0.035363929614428496,0.017808724230462487,dV,100_150Hz,C
