CaseName,EventType,TargetBus,CaseIndex,PredBus,Top3Pred,NearestEventType,NearestDistance,Evaluation,ExactMatch,Top3Match,OneHopMatch,is_1hop
SSO_ThreePhase_Fault_Bus10,SSO_ThreePhase_Fault,10.0,39,10,"[10, 9, 22]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus11,SSO_ThreePhase_Fault,11.0,40,11,"[11, 8, 5]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus12,SSO_ThreePhase_Fault,12.0,41,12,"[12, 15, 9]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus13,SSO_ThreePhase_Fault,13.0,42,13,"[13, 11, 8]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus14,SSO_ThreePhase_Fault,14.0,43,14,"[14, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus15,SSO_ThreePhase_Fault,15.0,44,15,"[15, 9, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus16,SSO_ThreePhase_Fault,16.0,45,16,"[16, 14, 25]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus17,SSO_ThreePhase_Fault,17.0,46,17,"[17, 9, 22]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus18,SSO_ThreePhase_Fault,18.0,47,18,"[18, 9, 25]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus19,SSO_ThreePhase_Fault,19.0,48,19,"[19, 9, 25]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus20,SSO_ThreePhase_Fault,20.0,49,20,"[20, 9, 25]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus21,SSO_ThreePhase_Fault,21.0,50,21,"[21, 22, 9]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus22,SSO_ThreePhase_Fault,22.0,51,22,"[22, 9, 21]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus23,SSO_ThreePhase_Fault,23.0,52,23,"[23, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus24,SSO_ThreePhase_Fault,24.0,53,24,"[24, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus25,SSO_ThreePhase_Fault,25.0,54,25,"[25, 27, 24]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus26,SSO_ThreePhase_Fault,26.0,55,26,"[26, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus27,SSO_ThreePhase_Fault,27.0,56,27,"[27, 25, 28]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus28,SSO_ThreePhase_Fault,28.0,57,28,"[28, 27, 25]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus29,SSO_ThreePhase_Fault,29.0,58,29,"[29, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_ThreePhase_Fault_Bus30,SSO_ThreePhase_Fault,30.0,59,30,"[30, 25, 27]",SSO_ThreePhase_Fault,0.0,self_matching,True,True,True,True
SSO_SLG_Fault_Bus01,SSO_SLG_Fault,1.0,0,5,"[5, 2, 3]",SSO_SLG_Fault,30.73926121345681,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus02,SSO_SLG_Fault,2.0,1,5,"[5, 1, 3]",SSO_SLG_Fault,28.38873836872818,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus03,SSO_SLG_Fault,3.0,2,2,"[2, 5, 1]",SSO_SLG_Fault,32.29214807910466,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus04,SSO_SLG_Fault,4.0,3,6,"[6, 2, 8]",SSO_SLG_Fault,38.21601331766266,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus05,SSO_SLG_Fault,5.0,4,2,"[2, 1, 7]",SSO_SLG_Fault,28.38873836872818,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus06,SSO_SLG_Fault,6.0,5,8,"[8, 2, 4]",SSO_SLG_Fault,36.950524515423105,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus07,SSO_SLG_Fault,7.0,6,5,"[5, 2, 1]",SSO_SLG_Fault,32.99394902667801,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus08,SSO_SLG_Fault,8.0,7,6,"[6, 5, 2]",SSO_SLG_Fault,36.950524515423105,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus09,SSO_SLG_Fault,9.0,8,22,"[22, 11, 21]",SSO_SLG_Fault,25.808631851163437,strict_loo,False,False,False,False
