FeatureGroup,Strategy,TriggerMethod,TriggerModel,EventModel,Model,Validation,accuracy,macro_f1,balanced_accuracy,Notes,precision_SSO_Normal,recall_SSO_Normal,f1_SSO_Normal,support_SSO_Normal,precision_SSO_LoadSwitch,recall_SSO_LoadSwitch,f1_SSO_LoadSwitch,support_SSO_LoadSwitch,precision_SSO_SLG_Fault,recall_SSO_SLG_Fault,f1_SSO_SLG_Fault,support_SSO_SLG_Fault,precision_SSO_ThreePhase_Fault,recall_SSO_ThreePhase_Fault,f1_SSO_ThreePhase_Fault,support_SSO_ThreePhase_Fault,Fault_precision,Normal_false_alarm_rate,Normal_recall,LoadSwitch_recall,LoadSwitch_to_Fault_count
Voltage_current_unbalance_sequence,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_current_unbalance_sequence,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_current_unbalance_sequence,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Voltage_current_unbalance_sequence,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.75,0.5555555555555556,0.75,,0.125,1.0,0.2222222222222222,3,0.0,0.0,0.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Voltage_current_unbalance_sequence,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.75,0.5555555555555556,0.75,,0.125,1.0,0.2222222222222222,3,0.0,0.0,0.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Impedance_added,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Impedance_added,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Impedance_added,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
Impedance_added,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.75,0.5555555555555556,0.75,,0.125,1.0,0.2222222222222222,3,0.0,0.0,0.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
Impedance_added,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.75,0.5555555555555556,0.75,,0.125,1.0,0.2222222222222222,3,0.0,0.0,0.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
All_features,flat,none,none,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
All_features,hierarchical,rule_based,RuleTrigger,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
All_features,hierarchical,binary_ml,RandomForest,RandomForest,RandomForest,LOO,1.0,1.0,1.0,,1.0,1.0,1.0,3,1.0,1.0,1.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,0
All_features,hierarchical,binary_ml,LogisticRegression,RandomForest,RandomForest,LOO,0.75,0.5555555555555556,0.75,,0.125,1.0,0.2222222222222222,3,0.0,0.0,0.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
All_features,hierarchical,binary_ml,LinearSVC,RandomForest,RandomForest,LOO,0.75,0.5555555555555556,0.75,,0.125,1.0,0.2222222222222222,3,0.0,0.0,0.0,21,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,0.0,1.0,0.0,0
