k,Method,SelectedBuses,macro_f1,balanced_accuracy,LoadSwitch_recall,Fault_precision,Normal_false_alarm_rate,Normal_recall
5,feature_aware_greedy,"[1, 2, 3, 4, 5]",1.0,1.0,1.0,1.0,0.0,1.0
6,feature_aware_greedy,"[1, 2, 3, 4, 5, 6]",1.0,1.0,1.0,1.0,0.0,1.0
7,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7]",1.0,1.0,1.0,1.0,0.0,1.0
8,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8]",1.0,1.0,1.0,1.0,0.0,1.0
9,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.0,1.0,1.0,1.0,0.0,1.0
10,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1.0,1.0,1.0,1.0,0.0,1.0
11,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",1.0,1.0,1.0,1.0,0.0,1.0
12,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1.0,1.0,1.0,1.0,0.0,1.0
13,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0,1.0,1.0,1.0,0.0,1.0
14,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1.0,1.0,1.0,1.0,0.0,1.0
15,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",1.0,1.0,1.0,1.0,0.0,1.0
16,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",1.0,1.0,1.0,1.0,0.0,1.0
17,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",1.0,1.0,1.0,1.0,0.0,1.0
18,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1.0,1.0,1.0,1.0,0.0,1.0
19,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1.0,1.0,1.0,1.0,0.0,1.0
20,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",1.0,1.0,1.0,1.0,0.0,1.0
21,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",1.0,1.0,1.0,1.0,0.0,1.0
22,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.0,1.0,1.0,1.0,0.0,1.0
23,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",1.0,1.0,1.0,1.0,0.0,1.0
24,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",1.0,1.0,1.0,1.0,0.0,1.0
25,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",1.0,1.0,1.0,1.0,0.0,1.0
26,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1.0,1.0,1.0,1.0,0.0,1.0
27,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",1.0,1.0,1.0,1.0,0.0,1.0
28,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",1.0,1.0,1.0,1.0,0.0,1.0
29,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",1.0,1.0,1.0,1.0,0.0,1.0
30,feature_aware_greedy,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1.0,1.0,1.0,1.0,0.0,1.0
1,random_mean_3,random,0.9972214504028898,0.9972222222222222,1.0,1.0,0.0,1.0
2,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
3,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
4,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
5,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
6,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
7,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
8,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
9,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
10,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
11,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
12,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
13,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
14,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
15,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
16,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
